image1.jpg,50,1030,98,1230,500,33,523,233
image2.jpg,61,1149,109,1349,511,152,559,352
image3.jpg,59,1071,107,1271,509,74,557,274
image4.jpg,96,1323,144,1096,546,326,453,526
image5.jpg,34,1055,82,1255,484,58,532,258
image6.jpg,33,1022,81,1222,483,25,502,225
image7.jpg,120,1364,168,1143,570,367,478,567
image8.jpg,107,1317,155,1221,557,320,508,520
image9.jpg,72,1108,120,1308,522,111,570,311
image10.jpg,66,1124,114,1324,516,127,564,327
image11.jpg,469,1007,517,1170,919,10,543,210
image12.jpg,500,716,548,916,950,0,597,-81
image13.jpg,83,1046,131,1246,533,49,581,249
image14.jpg,51,1151,99,1351,501,154,549,354
image15.jpg,293,1051,341,1251,743,54,548,254
image16.jpg,40,1099,88,1299,490,102,538,302
image17.jpg,80,1078,128,1278,530,81,578,281
image18.jpg,56,1039,104,1239,506,42,554,242
image19.jpg,47,1045,95,1245,497,48,545,248
image20.jpg,64,1040,112,1240,514,43,562,243
image21.jpg,107,1308,155,1145,557,311,489,511
image22.jpg,86,879,134,1079,536,0,584,82
image23.jpg,125,1278,173,1123,575,281,511,481
image24.jpg,52,1003,100,1203,502,6,550,206
image25.jpg,473,734,521,867,923,0,561,-63
image26.jpg,43,845,91,1045,493,0,541,48
image27.jpg,46,994,94,1194,496,0,544,197
image28.jpg,102,1362,150,1242,552,365,571,565
image29.jpg,62,1011,110,1211,512,14,560,214
image30.jpg,44,1286,92,1230,494,289,542,489
image31.jpg,48,913,96,1113,498,0,546,116
image32.jpg,48,922,96,1122,498,0,546,125
image33.jpg,51,906,99,1106,501,0,536,109
image34.jpg,59,994,107,1194,509,0,557,197
image35.jpg,67,912,115,1112,517,0,565,115
image36.jpg,63,903,111,1103,513,0,561,106
image37.jpg,47,889,95,1089,497,0,545,92
image38.jpg,60,822,108,1022,510,0,558,25
image39.jpg,60,836,108,1024,510,0,558,39
image40.jpg,46,891,94,1091,496,0,544,94
image41.jpg,53,873,101,1073,503,0,551,76
image42.jpg,37,862,85,1062,487,0,535,65
image43.jpg,51,877,99,1077,501,0,549,80
image44.jpg,314,1248,362,991,764,251,451,451
image45.jpg,351,702,399,902,801,0,445,-95
image46.jpg,334,698,382,898,784,0,428,-99
image47.jpg,221,1192,269,930,671,195,416,395
image48.jpg,127,1198,175,940,577,201,444,401
